coin_id,name,symbol,categories,last_updated
0x,0x Protocol,zrx,Decentralized Exchange (DEX);Decentralized Finance (DeFi);Avalanche Ecosystem;Harmony Ecosystem;Ethereum Ecosystem;Coinbase Ventures Portfolio;Pantera Capital Portfolio;Energi Ecosystem;GMCI DeFi Index;Blockchain Capital Portfolio;GMCI Index;Made in USA,2025-07-11T04:56:37.292046+00:00
1inch,1inch,1inch,Decentralized Exchange (DEX);Exchange-based Tokens;Decentralized Finance (DeFi);Automated Market Maker (AMM);BNB Chain Ecosystem;Avalanche Ecosystem;Polygon Ecosystem;Near Protocol Ecosystem;Harmony Ecosystem;Ethereum Ecosystem;FTX Holdings;Alameda Research Portfolio;DragonFly Capital Portfolio;Pantera Capital Portfolio;Energi Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio;GMCI DeFi Index;Galaxy Digital Portfolio;Blockchain Capital Portfolio;Dex Aggregator;GMCI Index;Coinbase 50 Index,2025-07-11T04:56:38.430125+00:00
aave,Aave,aave,Decentralized Finance (DeFi);Yield Farming;BNB Chain Ecosystem;Lending/Borrowing Protocols;Avalanche Ecosystem;Polygon Ecosystem;Near Protocol Ecosystem;Fantom Ecosystem;Harmony Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Base Ecosystem;Index Coop Defi Index;Energi Ecosystem;Sora Ecosystem;Huobi ECO Chain Ecosystem;GMCI DeFi Index;Blockchain Capital Portfolio;GMCI Index;World Liberty Financial Portfolio;Coinbase 50 Index;Hydration Ecosystem,2025-07-11T04:56:39.110372+00:00
abtc,aBTC,abtc,Decentralized Finance (DeFi);Aptos Ecosystem,2025-07-11T04:56:40.317325+00:00
acet-token,Acet,act,BNB Chain Ecosystem,2025-07-11T04:56:40.843604+00:00
aelf,aelf,elf,Infrastructure;Smart Contract Platform;BNB Chain Ecosystem;Layer 1 (L1);Ethereum Ecosystem;GMCI Layer 1 Index;Aelf Ecosystem;GMCI Index,2025-07-11T04:56:41.445325+00:00
aerodrome-finance,Aerodrome Finance,aero,Decentralized Exchange (DEX);Decentralized Finance (DeFi);Automated Market Maker (AMM);Base Ecosystem;Binance Alpha Spotlight;Made in USA,2025-07-11T04:56:41.978766+00:00
aethir,Aethir,ath,Solana Ecosystem;Arbitrum Ecosystem;Impossible Finance Launchpad;Ethereum Ecosystem;DePIN;Animoca Brands Portfolio,2025-07-11T04:56:42.518451+00:00
aevo-exchange,Aevo,aevo,Smart Contract Platform;Decentralized Finance (DeFi);Binance Launchpool;Derivatives;Perpetuals;Ethereum Ecosystem;Layer 2 (L2);DragonFly Capital Portfolio;Pantera Capital Portfolio,2025-07-11T06:21:37.180917+00:00
agentfun-ai,AgentFun.AI,agentfun,Meme;Cronos Ecosystem;AI Meme;Cronos zkEVM Ecosystem,2025-07-11T04:56:43.078906+00:00
ai-companions,AI Companions,aic,BNB Chain Ecosystem;Meme;AI Meme,2025-07-11T04:56:44.226878+00:00
ai16z,ai16z,ai16z,Artificial Intelligence (AI);Solana Ecosystem;Meme;Solana Token-2022;AI Agents;Binance Alpha Spotlight;AI Framework;Made in USA,2025-07-11T04:56:44.760793+00:00
aioz-network,AIOZ Network,aioz,Artificial Intelligence (AI);Smart Contract Platform;Storage;BNB Chain Ecosystem;Layer 1 (L1);Ethereum Ecosystem;DePIN;DWF Labs Portfolio;Osmosis Ecosystem;GMCI DePIN Index;GMCI Index,2025-07-11T04:56:45.324295+00:00
aixbt,aixbt by Virtuals,aixbt,Artificial Intelligence (AI);Solana Ecosystem;Meme;Base Ecosystem;AI Meme;AI Agents;Virtuals Protocol Ecosystem;Binance Alpha Spotlight;DeFAI,2025-07-11T04:56:46.385304+00:00
akash-network,Akash Network,akt,Artificial Intelligence (AI);Smart Contract Platform;DePIN;Osmosis Ecosystem;Proof of Stake (PoS);Archway Ecosystem;Made in USA,2025-07-11T04:56:46.915973+00:00
alchemist-ai,Alchemist AI,alch,Artificial Intelligence (AI);Solana Ecosystem;Pump.fun Ecosystem;AI Applications;Binance Alpha Spotlight,2025-07-11T04:56:47.584172+00:00
alchemy-pay,Alchemy Pay,ach,BNB Chain Ecosystem;Ethereum Ecosystem;Payment Solutions;DWF Labs Portfolio,2025-07-11T04:56:48.172612+00:00
aleo,ALEO,aleo,Smart Contract Platform;Layer 1 (L1);Zero Knowledge (ZK);Andreessen Horowitz (a16z) Portfolio;Privacy Blockchain;Made in USA,2025-07-11T04:56:48.723082+00:00
algorand,Algorand,algo,Smart Contract Platform;Layer 1 (L1);Algorand Ecosystem;Real World Assets (RWA);Alleged SEC Securities;DWF Labs Portfolio;Multicoin Capital Portfolio;Proof of Stake (PoS);GMCI Layer 1 Index;GMCI Index;Made in USA;Coinbase 50 Index,2025-07-11T04:56:49.266926+00:00
altlayer,AltLayer,alt,Smart Contract Platform;BNB Chain Ecosystem;Binance Launchpool;Ethereum Ecosystem;Layer 2 (L2);Restaking;Rollups-as-a-Service (RaaS);Rollup;YZi Labs (Prev. Binance Labs) Portfolio,2025-07-11T04:56:49.836361+00:00
amp-token,Amp,amp,Decentralized Finance (DeFi);Near Protocol Ecosystem;Ethereum Ecosystem;Payment Solutions;Alleged SEC Securities;Pantera Capital Portfolio;Energi Ecosystem;Made in USA,2025-07-11T04:56:50.961210+00:00
anime,Animecoin,anime,NFT;Meme;Arbitrum Ecosystem;Ethereum Ecosystem;Anime-Themed;Binance HODLer Airdrops;Airdropped Tokens by NFT Projects,2025-07-11T04:56:51.580164+00:00
ankr,Ankr Network,ankr,BNB Chain Ecosystem;Avalanche Ecosystem;Polygon Ecosystem;Fantom Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Liquid Staking Governance Tokens;Linea Ecosystem;DePIN;Scroll Ecosystem;Rollups-as-a-Service (RaaS);Blast Ecosystem;Mode Ecosystem;Pantera Capital Portfolio;Polygon zkEVM Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio;Liquid Staking;Made in USA,2025-07-11T04:56:52.196203+00:00
apecoin,ApeCoin,ape,Gaming (GameFi);NFT;Polygon Ecosystem;Ethereum Ecosystem;Animoca Brands Portfolio;Gaming Blockchains;Gaming Governance Token;Gaming Utility Token;Andreessen Horowitz (a16z) Portfolio;ApeChain Ecosystem;Airdropped Tokens by NFT Projects;Coinbase 50 Index,2025-07-11T04:56:53.312630+00:00
apenft,APENFT,nft,NFT;BNB Chain Ecosystem;Ethereum Ecosystem;Tron Ecosystem,2025-07-11T04:56:53.875603+00:00
apollo-diversified-credit-securitize-fund,Apollo Diversified Credit Securitize Fund,acred,Solana Ecosystem;Avalanche Ecosystem;Polygon Ecosystem;Ethereum Ecosystem;Aptos Ecosystem;Real World Assets (RWA);Ink Ecosystem,2025-07-11T04:56:54.425727+00:00
aptos,Aptos,apt,Smart Contract Platform;Layer 1 (L1);Aptos Ecosystem;FTX Holdings;Coinbase Ventures Portfolio;Multicoin Capital Portfolio;Proof of Stake (PoS);DragonFly Capital Portfolio;Andreessen Horowitz (a16z) Portfolio;YZi Labs (Prev. Binance Labs) Portfolio;GMCI Layer 1 Index;GMCI 30 Index;Circle Ventures Portfolio;GMCI Index;Made in USA,2025-07-11T04:56:55.061926+00:00
arbitrum,Arbitrum,arb,Smart Contract Platform;Arbitrum Ecosystem;Ethereum Ecosystem;Arbitrum Nova Ecosystem;Layer 2 (L2);eGirl Capital Portfolio;Rollup;Alameda Research Portfolio;Pantera Capital Portfolio;GMCI Layer 2 Index;GMCI 30 Index;GMCI Index;Polychain Capital Portfolio;Made in USA,2025-07-11T04:56:56.187287+00:00
arkham,Arkham,arkm,Artificial Intelligence (AI);Exchange-based Tokens;Analytics;Derivatives;Perpetuals;Centralized Exchange (CEX) Token;Ethereum Ecosystem;Binance Launchpad;Coinbase Ventures Portfolio;YZi Labs (Prev. Binance Labs) Portfolio;Made in USA,2025-07-11T04:56:57.831449+00:00
arweave,Arweave,ar,Artificial Intelligence (AI);Smart Contract Platform;Storage;Layer 1 (L1);DePIN;Coinbase Ventures Portfolio;Multicoin Capital Portfolio;Andreessen Horowitz (a16z) Portfolio;Blockchain Capital Portfolio,2025-07-11T04:56:58.384858+00:00
astar,Astar,astr,Smart Contract Platform;Polkadot Ecosystem;Layer 1 (L1);Ethereum Ecosystem;Layer 2 (L2);Alameda Research Portfolio;YZi Labs (Prev. Binance Labs) Portfolio;OKX Ventures Portfolio,2025-07-11T04:56:58.933269+00:00
aura-on-sol,aura,aura,Solana Ecosystem;Meme;Solana Meme;Cat-Themed;Pump.fun Ecosystem,2025-07-11T04:57:00.059623+00:00
avalanche-2,Avalanche,avax,Smart Contract Platform;Layer 1 (L1);Avalanche Ecosystem;Proof of Stake (PoS);DragonFly Capital Portfolio;DeFiance Capital Portfolio;Andreessen Horowitz (a16z) Portfolio;GMCI Layer 1 Index;GMCI 30 Index;Galaxy Digital Portfolio;GMCI Index;Polychain Capital Portfolio;World Liberty Financial Portfolio;Made in USA;Coinbase 50 Index,2025-07-11T04:57:00.695799+00:00
axelar,Axelar,axl,Infrastructure;BNB Chain Ecosystem;Avalanche Ecosystem;Polygon Ecosystem;Fantom Ecosystem;Arbitrum Ecosystem;Moonbeam Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Interoperability;Bridge Governance Tokens;Base Ecosystem;Osmosis Ecosystem;Cross-chain Communication;Secret Ecosystem;Galaxy Digital Portfolio;Polychain Capital Portfolio;Made in USA,2025-07-11T04:57:02.536155+00:00
